AircraftCode,Aircraft,OnAir,Seats,Payload (kg),Range,Pax / Cargo,Class,Code,Pax min,Pax Max,Cargo min,Cargo Max
A21NJ,A21N,A21N,240,"25,491",4000,J,1,1 - 240,200,240,0,0
A319J,A319,A319,156,"13,999",3131,J,1,1 - 156,130,156,0,0
A320J,A320,A320,186,"19,958",3300,J,1,1 - 186,155,186,0,0
A321J,A321,A321,220,"25,401",3200,J,1,1 - 220,183,220,0,0
A339J,A332,A339,460,"45,812",10100,J,2,2 - 460,325,391,0,0
A333J,A333,A333,440,"45,586",6350,J,3,3 - 440,305,367,0,0
A388J,A388,A388,853,"83,914",8000,J,3,3 - 853,592,711,0,0
B463C,B463,B463,112,"11,779",3600,C,0,0 - 112,0,0,9184,0
B712J,B712,B712,106,"12,628",1430,J,2,2 - 106,75,91,0,0
B733C,B733,B733,149,"16,891",2255,C,0,0 - 149,0,0,12218,0
B734C,B734,B734,168,"15,059",2375,C,0,0 - 168,0,0,13776,0
B738J,B738,B738,189,"20,539",2915,J,2,2 - 189,134,161,0,0
B763J,B763,B763,351,"43,798",5980,J,1,1 - 351,292,351,0,0
B788J,B788,B788,359,"41,050",7355,J,2,2 - 359,255,306,0,0
B78XJ,B789,B78X,440,"57,288",6430,J,3,3 - 440,305,367,0,0
BCS3J,BCS3,BCS3,150,"27,453",7745,J,2,2 - 150,106,128,0,0
C25CJ,C25C,C25C,8,"1,007",2165,J,4,4 - 8,6,8,0,0
DH8DJ,DH8B,DH8D,90,"8,489",1100,J,1,1 - 90,75,90,0,0
DH8DJ,DH8C,DH8D,90,"8,489",1100,J,1,1 - 90,75,90,0,0
DH8DJ,DH8D,DH8D,90,"8,489",1100,J,1,1 - 90,75,90,0,0
E190J,E190,E190,114,"13,063",2450,J,2,2 - 114,80,97,0,0
F100J,F100,F100,85,"8,610",1370,J,1,1 - 85,70,85,0,0
TBM9J,TBM9,TBM9,4,635,1784,J,4,4 - 4,3,4,0,0
B748C,B744,B748,0,"137,755",7500,C,0,0 - 0,0,0,100000,0