Origin,Destination,Approved
INCOZ - NFFN,INCOZ - NFFN,False
INCOZ - NZAA,INCOZ - NFFN,False
INCOZ - NZCH,INCOZ - NFFN,False
INCOZ - NZGS,INCOZ - NFFN,False
INCOZ - NZMF,INCOZ - NFFN,False
INCOZ - NZMJ,INCOZ - NFFN,False
INCOZ - NZNS,INCOZ - NFFN,False
INCOZ - NZNV,INCOZ - NFFN,False
INCOZ - NZQE,INCOZ - NFFN,False
INCOZ - NZQN,INCOZ - NFFN,False
INCOZ - NZRO,INCOZ - NFFN,False
INCOZ - NZTL,INCOZ - NFFN,False
INCOZ - NZWN,INCOZ - NFFN,False
INCOZ - NZWR,INCOZ - NFFN,False
INCOZ - NZWS,INCOZ - NFFN,False
INCOZ - RJAA,INCOZ - NFFN,False
INCOZ - RJCC,INCOZ - NFFN,False
INCOZ - RJOA,INCOZ - NFFN,False
INCOZ - RJOO,INCOZ - NFFN,False
INCOZ - RKPK,INCOZ - NFFN,False
INCOZ - RKSI,INCOZ - NFFN,False
INCOZ - VHHH,INCOZ - NFFN,False
INCOZ - VHHX,INCOZ - NFFN,False
INCOZ - VNKT,INCOZ - NFFN,False
INCOZ - WADD,INCOZ - NFFN,False
INCOZ - WSSS,INCOZ - NFFN,False
INCOZ - YBBN,INCOZ - NFFN,False
INCOZ - YBCG,INCOZ - NFFN,False
INCOZ - YBHM,INCOZ - NFFN,False
INCOZ - YBMK,INCOZ - NFFN,False
INCOZ - YBRK,INCOZ - NFFN,False
INCOZ - YBSU,INCOZ - NFFN,False
INCOZ - YMHB,INCOZ - NFFN,False
INCOZ - YMLT,INCOZ - NFFN,False
INCOZ - YMML,INCOZ - NFFN,False
INCOZ - YPAD,INCOZ - NFFN,False
INCOZ - YPPH,INCOZ - NFFN,False
INCOZ - YSCB,INCOZ - NFFN,False
INCOZ - YSSY,INCOZ - NFFN,False
INCOZ - NFFN,INCOZ - NZAA,False
INCOZ - NZAA,INCOZ - NZAA,False
INCOZ - NZCH,INCOZ - NZAA,False
INCOZ - NZGS,INCOZ - NZAA,False
INCOZ - NZMF,INCOZ - NZAA,False
INCOZ - NZMJ,INCOZ - NZAA,False
INCOZ - NZNS,INCOZ - NZAA,False
INCOZ - NZNV,INCOZ - NZAA,False
INCOZ - NZQE,INCOZ - NZAA,False
INCOZ - NZQN,INCOZ - NZAA,False
INCOZ - NZRO,INCOZ - NZAA,False
INCOZ - NZTL,INCOZ - NZAA,False
INCOZ - NZWN,INCOZ - NZAA,False
INCOZ - NZWR,INCOZ - NZAA,False
INCOZ - NZWS,INCOZ - NZAA,False
INCOZ - RJAA,INCOZ - NZAA,False
INCOZ - RJCC,INCOZ - NZAA,False
INCOZ - RJOA,INCOZ - NZAA,False
INCOZ - RJOO,INCOZ - NZAA,False
INCOZ - RKPK,INCOZ - NZAA,False
INCOZ - RKSI,INCOZ - NZAA,False
INCOZ - VHHH,INCOZ - NZAA,False
INCOZ - VHHX,INCOZ - NZAA,False
INCOZ - VNKT,INCOZ - NZAA,False
INCOZ - WADD,INCOZ - NZAA,False
INCOZ - WSSS,INCOZ - NZAA,False
INCOZ - YBBN,INCOZ - NZAA,False
INCOZ - YBCG,INCOZ - NZAA,False
INCOZ - YBHM,INCOZ - NZAA,False
INCOZ - YBMK,INCOZ - NZAA,False
INCOZ - YBRK,INCOZ - NZAA,False
INCOZ - YBSU,INCOZ - NZAA,False
INCOZ - YMHB,INCOZ - NZAA,False
INCOZ - YMLT,INCOZ - NZAA,False
INCOZ - YMML,INCOZ - NZAA,False
INCOZ - YPAD,INCOZ - NZAA,False
INCOZ - YPPH,INCOZ - NZAA,False
INCOZ - YSCB,INCOZ - NZAA,False
INCOZ - YSSY,INCOZ - NZAA,False
INCOZ - NFFN,INCOZ - NZCH,False
INCOZ - NZAA,INCOZ - NZCH,False
INCOZ - NZCH,INCOZ - NZCH,False
INCOZ - NZGS,INCOZ - NZCH,True
INCOZ - NZMF,INCOZ - NZCH,True
INCOZ - NZMJ,INCOZ - NZCH,True
INCOZ - NZNS,INCOZ - NZCH,True
INCOZ - NZNV,INCOZ - NZCH,False
INCOZ - NZQE,INCOZ - NZCH,True
INCOZ - NZQN,INCOZ - NZCH,False
INCOZ - NZRO,INCOZ - NZCH,True
INCOZ - NZTL,INCOZ - NZCH,True
INCOZ - NZWN,INCOZ - NZCH,False
INCOZ - NZWR,INCOZ - NZCH,True
INCOZ - NZWS,INCOZ - NZCH,True
INCOZ - RJAA,INCOZ - NZCH,False
INCOZ - RJCC,INCOZ - NZCH,False
INCOZ - RJOA,INCOZ - NZCH,False
INCOZ - RJOO,INCOZ - NZCH,False
INCOZ - RKPK,INCOZ - NZCH,False
INCOZ - RKSI,INCOZ - NZCH,False
INCOZ - VHHH,INCOZ - NZCH,False
INCOZ - VHHX,INCOZ - NZCH,False
INCOZ - VNKT,INCOZ - NZCH,False
INCOZ - WADD,INCOZ - NZCH,False
INCOZ - WSSS,INCOZ - NZCH,False
INCOZ - YBBN,INCOZ - NZCH,False
INCOZ - YBCG,INCOZ - NZCH,False
INCOZ - YBHM,INCOZ - NZCH,False
INCOZ - YBMK,INCOZ - NZCH,False
INCOZ - YBRK,INCOZ - NZCH,False
INCOZ - YBSU,INCOZ - NZCH,False
INCOZ - YMHB,INCOZ - NZCH,False
INCOZ - YMLT,INCOZ - NZCH,False
INCOZ - YMML,INCOZ - NZCH,False
INCOZ - YPAD,INCOZ - NZCH,False
INCOZ - YPPH,INCOZ - NZCH,False
INCOZ - YSCB,INCOZ - NZCH,False
INCOZ - YSSY,INCOZ - NZCH,False
INCOZ - NFFN,INCOZ - NZGS,False
INCOZ - NZAA,INCOZ - NZGS,False
INCOZ - NZCH,INCOZ - NZGS,True
INCOZ - NZGS,INCOZ - NZGS,False
INCOZ - NZMF,INCOZ - NZGS,False
INCOZ - NZMJ,INCOZ - NZGS,False
INCOZ - NZNS,INCOZ - NZGS,False
INCOZ - NZNV,INCOZ - NZGS,False
INCOZ - NZQE,INCOZ - NZGS,False
INCOZ - NZQN,INCOZ - NZGS,False
INCOZ - NZRO,INCOZ - NZGS,False
INCOZ - NZTL,INCOZ - NZGS,False
INCOZ - NZWN,INCOZ - NZGS,False
INCOZ - NZWR,INCOZ - NZGS,False
INCOZ - NZWS,INCOZ - NZGS,False
INCOZ - RJAA,INCOZ - NZGS,False
INCOZ - RJCC,INCOZ - NZGS,False
INCOZ - RJOA,INCOZ - NZGS,False
INCOZ - RJOO,INCOZ - NZGS,False
INCOZ - RKPK,INCOZ - NZGS,False
INCOZ - RKSI,INCOZ - NZGS,False
INCOZ - VHHH,INCOZ - NZGS,False
INCOZ - VHHX,INCOZ - NZGS,False
INCOZ - VNKT,INCOZ - NZGS,False
INCOZ - WADD,INCOZ - NZGS,False
INCOZ - WSSS,INCOZ - NZGS,False
INCOZ - YBBN,INCOZ - NZGS,False
INCOZ - YBCG,INCOZ - NZGS,False
INCOZ - YBHM,INCOZ - NZGS,False
INCOZ - YBMK,INCOZ - NZGS,False
INCOZ - YBRK,INCOZ - NZGS,False
INCOZ - YBSU,INCOZ - NZGS,False
INCOZ - YMHB,INCOZ - NZGS,False
INCOZ - YMLT,INCOZ - NZGS,False
INCOZ - YMML,INCOZ - NZGS,False
INCOZ - YPAD,INCOZ - NZGS,False
INCOZ - YPPH,INCOZ - NZGS,False
INCOZ - YSCB,INCOZ - NZGS,False
INCOZ - YSSY,INCOZ - NZGS,False
INCOZ - NFFN,INCOZ - NZMF,False
INCOZ - NZAA,INCOZ - NZMF,False
INCOZ - NZCH,INCOZ - NZMF,True
INCOZ - NZGS,INCOZ - NZMF,False
INCOZ - NZMF,INCOZ - NZMF,False
INCOZ - NZMJ,INCOZ - NZMF,False
INCOZ - NZNS,INCOZ - NZMF,False
INCOZ - NZNV,INCOZ - NZMF,False
INCOZ - NZQE,INCOZ - NZMF,False
INCOZ - NZQN,INCOZ - NZMF,False
INCOZ - NZRO,INCOZ - NZMF,False
INCOZ - NZTL,INCOZ - NZMF,False
INCOZ - NZWN,INCOZ - NZMF,False
INCOZ - NZWR,INCOZ - NZMF,False
INCOZ - NZWS,INCOZ - NZMF,False
INCOZ - RJAA,INCOZ - NZMF,False
INCOZ - RJCC,INCOZ - NZMF,False
INCOZ - RJOA,INCOZ - NZMF,False
INCOZ - RJOO,INCOZ - NZMF,False
INCOZ - RKPK,INCOZ - NZMF,False
INCOZ - RKSI,INCOZ - NZMF,False
INCOZ - VHHH,INCOZ - NZMF,False
INCOZ - VHHX,INCOZ - NZMF,False
INCOZ - VNKT,INCOZ - NZMF,False
INCOZ - WADD,INCOZ - NZMF,False
INCOZ - WSSS,INCOZ - NZMF,False
INCOZ - YBBN,INCOZ - NZMF,False
INCOZ - YBCG,INCOZ - NZMF,False
INCOZ - YBHM,INCOZ - NZMF,False
INCOZ - YBMK,INCOZ - NZMF,False
INCOZ - YBRK,INCOZ - NZMF,False
INCOZ - YBSU,INCOZ - NZMF,False
INCOZ - YMHB,INCOZ - NZMF,False
INCOZ - YMLT,INCOZ - NZMF,False
INCOZ - YMML,INCOZ - NZMF,False
INCOZ - YPAD,INCOZ - NZMF,False
INCOZ - YPPH,INCOZ - NZMF,False
INCOZ - YSCB,INCOZ - NZMF,False
INCOZ - YSSY,INCOZ - NZMF,False
INCOZ - NFFN,INCOZ - NZMJ,False
INCOZ - NZAA,INCOZ - NZMJ,False
INCOZ - NZCH,INCOZ - NZMJ,True
INCOZ - NZGS,INCOZ - NZMJ,False
INCOZ - NZMF,INCOZ - NZMJ,False
INCOZ - NZMJ,INCOZ - NZMJ,False
INCOZ - NZNS,INCOZ - NZMJ,False
INCOZ - NZNV,INCOZ - NZMJ,False
INCOZ - NZQE,INCOZ - NZMJ,False
INCOZ - NZQN,INCOZ - NZMJ,False
INCOZ - NZRO,INCOZ - NZMJ,False
INCOZ - NZTL,INCOZ - NZMJ,False
INCOZ - NZWN,INCOZ - NZMJ,False
INCOZ - NZWR,INCOZ - NZMJ,False
INCOZ - NZWS,INCOZ - NZMJ,False
INCOZ - RJAA,INCOZ - NZMJ,False
INCOZ - RJCC,INCOZ - NZMJ,False
INCOZ - RJOA,INCOZ - NZMJ,False
INCOZ - RJOO,INCOZ - NZMJ,False
INCOZ - RKPK,INCOZ - NZMJ,False
INCOZ - RKSI,INCOZ - NZMJ,False
INCOZ - VHHH,INCOZ - NZMJ,False
INCOZ - VHHX,INCOZ - NZMJ,False
INCOZ - VNKT,INCOZ - NZMJ,False
INCOZ - WADD,INCOZ - NZMJ,False
INCOZ - WSSS,INCOZ - NZMJ,False
INCOZ - YBBN,INCOZ - NZMJ,False
INCOZ - YBCG,INCOZ - NZMJ,False
INCOZ - YBHM,INCOZ - NZMJ,False
INCOZ - YBMK,INCOZ - NZMJ,False
INCOZ - YBRK,INCOZ - NZMJ,False
INCOZ - YBSU,INCOZ - NZMJ,False
INCOZ - YMHB,INCOZ - NZMJ,False
INCOZ - YMLT,INCOZ - NZMJ,False
INCOZ - YMML,INCOZ - NZMJ,False
INCOZ - YPAD,INCOZ - NZMJ,False
INCOZ - YPPH,INCOZ - NZMJ,False
INCOZ - YSCB,INCOZ - NZMJ,False
INCOZ - YSSY,INCOZ - NZMJ,False
INCOZ - NFFN,INCOZ - NZNS,False
INCOZ - NZAA,INCOZ - NZNS,False
INCOZ - NZCH,INCOZ - NZNS,True
INCOZ - NZGS,INCOZ - NZNS,False
INCOZ - NZMF,INCOZ - NZNS,False
INCOZ - NZMJ,INCOZ - NZNS,False
INCOZ - NZNS,INCOZ - NZNS,False
INCOZ - NZNV,INCOZ - NZNS,False
INCOZ - NZQE,INCOZ - NZNS,False
INCOZ - NZQN,INCOZ - NZNS,False
INCOZ - NZRO,INCOZ - NZNS,False
INCOZ - NZTL,INCOZ - NZNS,False
INCOZ - NZWN,INCOZ - NZNS,False
INCOZ - NZWR,INCOZ - NZNS,False
INCOZ - NZWS,INCOZ - NZNS,False
INCOZ - RJAA,INCOZ - NZNS,False
INCOZ - RJCC,INCOZ - NZNS,False
INCOZ - RJOA,INCOZ - NZNS,False
INCOZ - RJOO,INCOZ - NZNS,False
INCOZ - RKPK,INCOZ - NZNS,False
INCOZ - RKSI,INCOZ - NZNS,False
INCOZ - VHHH,INCOZ - NZNS,False
INCOZ - VHHX,INCOZ - NZNS,False
INCOZ - VNKT,INCOZ - NZNS,False
INCOZ - WADD,INCOZ - NZNS,False
INCOZ - WSSS,INCOZ - NZNS,False
INCOZ - YBBN,INCOZ - NZNS,False
INCOZ - YBCG,INCOZ - NZNS,False
INCOZ - YBHM,INCOZ - NZNS,False
INCOZ - YBMK,INCOZ - NZNS,False
INCOZ - YBRK,INCOZ - NZNS,False
INCOZ - YBSU,INCOZ - NZNS,False
INCOZ - YMHB,INCOZ - NZNS,False
INCOZ - YMLT,INCOZ - NZNS,False
INCOZ - YMML,INCOZ - NZNS,False
INCOZ - YPAD,INCOZ - NZNS,False
INCOZ - YPPH,INCOZ - NZNS,False
INCOZ - YSCB,INCOZ - NZNS,False
INCOZ - YSSY,INCOZ - NZNS,False
INCOZ - NFFN,INCOZ - NZNV,False
INCOZ - NZAA,INCOZ - NZNV,False
INCOZ - NZCH,INCOZ - NZNV,False
INCOZ - NZGS,INCOZ - NZNV,False
INCOZ - NZMF,INCOZ - NZNV,False
INCOZ - NZMJ,INCOZ - NZNV,False
INCOZ - NZNS,INCOZ - NZNV,False
INCOZ - NZNV,INCOZ - NZNV,False
INCOZ - NZQE,INCOZ - NZNV,False
INCOZ - NZQN,INCOZ - NZNV,False
INCOZ - NZRO,INCOZ - NZNV,False
INCOZ - NZTL,INCOZ - NZNV,False
INCOZ - NZWN,INCOZ - NZNV,False
INCOZ - NZWR,INCOZ - NZNV,False
INCOZ - NZWS,INCOZ - NZNV,False
INCOZ - RJAA,INCOZ - NZNV,False
INCOZ - RJCC,INCOZ - NZNV,False
INCOZ - RJOA,INCOZ - NZNV,False
INCOZ - RJOO,INCOZ - NZNV,False
INCOZ - RKPK,INCOZ - NZNV,False
INCOZ - RKSI,INCOZ - NZNV,False
INCOZ - VHHH,INCOZ - NZNV,False
INCOZ - VHHX,INCOZ - NZNV,False
INCOZ - VNKT,INCOZ - NZNV,False
INCOZ - WADD,INCOZ - NZNV,False
INCOZ - WSSS,INCOZ - NZNV,False
INCOZ - YBBN,INCOZ - NZNV,False
INCOZ - YBCG,INCOZ - NZNV,False
INCOZ - YBHM,INCOZ - NZNV,False
INCOZ - YBMK,INCOZ - NZNV,False
INCOZ - YBRK,INCOZ - NZNV,False
INCOZ - YBSU,INCOZ - NZNV,False
INCOZ - YMHB,INCOZ - NZNV,False
INCOZ - YMLT,INCOZ - NZNV,False
INCOZ - YMML,INCOZ - NZNV,False
INCOZ - YPAD,INCOZ - NZNV,False
INCOZ - YPPH,INCOZ - NZNV,False
INCOZ - YSCB,INCOZ - NZNV,False
INCOZ - YSSY,INCOZ - NZNV,False
INCOZ - NFFN,INCOZ - NZQE,False
INCOZ - NZAA,INCOZ - NZQE,False
INCOZ - NZCH,INCOZ - NZQE,True
INCOZ - NZGS,INCOZ - NZQE,False
INCOZ - NZMF,INCOZ - NZQE,False
INCOZ - NZMJ,INCOZ - NZQE,False
INCOZ - NZNS,INCOZ - NZQE,False
INCOZ - NZNV,INCOZ - NZQE,False
INCOZ - NZQE,INCOZ - NZQE,False
INCOZ - NZQN,INCOZ - NZQE,False
INCOZ - NZRO,INCOZ - NZQE,False
INCOZ - NZTL,INCOZ - NZQE,False
INCOZ - NZWN,INCOZ - NZQE,False
INCOZ - NZWR,INCOZ - NZQE,False
INCOZ - NZWS,INCOZ - NZQE,False
INCOZ - RJAA,INCOZ - NZQE,False
INCOZ - RJCC,INCOZ - NZQE,False
INCOZ - RJOA,INCOZ - NZQE,False
INCOZ - RJOO,INCOZ - NZQE,False
INCOZ - RKPK,INCOZ - NZQE,False
INCOZ - RKSI,INCOZ - NZQE,False
INCOZ - VHHH,INCOZ - NZQE,False
INCOZ - VHHX,INCOZ - NZQE,False
INCOZ - VNKT,INCOZ - NZQE,False
INCOZ - WADD,INCOZ - NZQE,False
INCOZ - WSSS,INCOZ - NZQE,False
INCOZ - YBBN,INCOZ - NZQE,False
INCOZ - YBCG,INCOZ - NZQE,False
INCOZ - YBHM,INCOZ - NZQE,False
INCOZ - YBMK,INCOZ - NZQE,False
INCOZ - YBRK,INCOZ - NZQE,False
INCOZ - YBSU,INCOZ - NZQE,False
INCOZ - YMHB,INCOZ - NZQE,False
INCOZ - YMLT,INCOZ - NZQE,False
INCOZ - YMML,INCOZ - NZQE,False
INCOZ - YPAD,INCOZ - NZQE,False
INCOZ - YPPH,INCOZ - NZQE,False
INCOZ - YSCB,INCOZ - NZQE,False
INCOZ - YSSY,INCOZ - NZQE,False
INCOZ - NFFN,INCOZ - NZQN,False
INCOZ - NZAA,INCOZ - NZQN,False
INCOZ - NZCH,INCOZ - NZQN,False
INCOZ - NZGS,INCOZ - NZQN,False
INCOZ - NZMF,INCOZ - NZQN,False
INCOZ - NZMJ,INCOZ - NZQN,False
INCOZ - NZNS,INCOZ - NZQN,False
INCOZ - NZNV,INCOZ - NZQN,False
INCOZ - NZQE,INCOZ - NZQN,False
INCOZ - NZQN,INCOZ - NZQN,False
INCOZ - NZRO,INCOZ - NZQN,False
INCOZ - NZTL,INCOZ - NZQN,False
INCOZ - NZWN,INCOZ - NZQN,False
INCOZ - NZWR,INCOZ - NZQN,False
INCOZ - NZWS,INCOZ - NZQN,False
INCOZ - RJAA,INCOZ - NZQN,False
INCOZ - RJCC,INCOZ - NZQN,False
INCOZ - RJOA,INCOZ - NZQN,False
INCOZ - RJOO,INCOZ - NZQN,False
INCOZ - RKPK,INCOZ - NZQN,False
INCOZ - RKSI,INCOZ - NZQN,False
INCOZ - VHHH,INCOZ - NZQN,False
INCOZ - VHHX,INCOZ - NZQN,False
INCOZ - VNKT,INCOZ - NZQN,False
INCOZ - WADD,INCOZ - NZQN,False
INCOZ - WSSS,INCOZ - NZQN,False
INCOZ - YBBN,INCOZ - NZQN,False
INCOZ - YBCG,INCOZ - NZQN,False
INCOZ - YBHM,INCOZ - NZQN,False
INCOZ - YBMK,INCOZ - NZQN,False
INCOZ - YBRK,INCOZ - NZQN,False
INCOZ - YBSU,INCOZ - NZQN,False
INCOZ - YMHB,INCOZ - NZQN,False
INCOZ - YMLT,INCOZ - NZQN,False
INCOZ - YMML,INCOZ - NZQN,False
INCOZ - YPAD,INCOZ - NZQN,False
INCOZ - YPPH,INCOZ - NZQN,False
INCOZ - YSCB,INCOZ - NZQN,False
INCOZ - YSSY,INCOZ - NZQN,False
INCOZ - NFFN,INCOZ - NZRO,False
INCOZ - NZAA,INCOZ - NZRO,False
INCOZ - NZCH,INCOZ - NZRO,True
INCOZ - NZGS,INCOZ - NZRO,False
INCOZ - NZMF,INCOZ - NZRO,False
INCOZ - NZMJ,INCOZ - NZRO,False
INCOZ - NZNS,INCOZ - NZRO,False
INCOZ - NZNV,INCOZ - NZRO,False
INCOZ - NZQE,INCOZ - NZRO,False
INCOZ - NZQN,INCOZ - NZRO,False
INCOZ - NZRO,INCOZ - NZRO,False
INCOZ - NZTL,INCOZ - NZRO,False
INCOZ - NZWN,INCOZ - NZRO,False
INCOZ - NZWR,INCOZ - NZRO,False
INCOZ - NZWS,INCOZ - NZRO,False
INCOZ - RJAA,INCOZ - NZRO,False
INCOZ - RJCC,INCOZ - NZRO,False
INCOZ - RJOA,INCOZ - NZRO,False
INCOZ - RJOO,INCOZ - NZRO,False
INCOZ - RKPK,INCOZ - NZRO,False
INCOZ - RKSI,INCOZ - NZRO,False
INCOZ - VHHH,INCOZ - NZRO,False
INCOZ - VHHX,INCOZ - NZRO,False
INCOZ - VNKT,INCOZ - NZRO,False
INCOZ - WADD,INCOZ - NZRO,False
INCOZ - WSSS,INCOZ - NZRO,False
INCOZ - YBBN,INCOZ - NZRO,False
INCOZ - YBCG,INCOZ - NZRO,False
INCOZ - YBHM,INCOZ - NZRO,False
INCOZ - YBMK,INCOZ - NZRO,False
INCOZ - YBRK,INCOZ - NZRO,False
INCOZ - YBSU,INCOZ - NZRO,False
INCOZ - YMHB,INCOZ - NZRO,False
INCOZ - YMLT,INCOZ - NZRO,False
INCOZ - YMML,INCOZ - NZRO,False
INCOZ - YPAD,INCOZ - NZRO,False
INCOZ - YPPH,INCOZ - NZRO,False
INCOZ - YSCB,INCOZ - NZRO,False
INCOZ - YSSY,INCOZ - NZRO,False
INCOZ - NFFN,INCOZ - NZTL,False
INCOZ - NZAA,INCOZ - NZTL,False
INCOZ - NZCH,INCOZ - NZTL,True
INCOZ - NZGS,INCOZ - NZTL,False
INCOZ - NZMF,INCOZ - NZTL,False
INCOZ - NZMJ,INCOZ - NZTL,False
INCOZ - NZNS,INCOZ - NZTL,False
INCOZ - NZNV,INCOZ - NZTL,False
INCOZ - NZQE,INCOZ - NZTL,False
INCOZ - NZQN,INCOZ - NZTL,False
INCOZ - NZRO,INCOZ - NZTL,False
INCOZ - NZTL,INCOZ - NZTL,False
INCOZ - NZWN,INCOZ - NZTL,False
INCOZ - NZWR,INCOZ - NZTL,False
INCOZ - NZWS,INCOZ - NZTL,False
INCOZ - RJAA,INCOZ - NZTL,False
INCOZ - RJCC,INCOZ - NZTL,False
INCOZ - RJOA,INCOZ - NZTL,False
INCOZ - RJOO,INCOZ - NZTL,False
INCOZ - RKPK,INCOZ - NZTL,False
INCOZ - RKSI,INCOZ - NZTL,False
INCOZ - VHHH,INCOZ - NZTL,False
INCOZ - VHHX,INCOZ - NZTL,False
INCOZ - VNKT,INCOZ - NZTL,False
INCOZ - WADD,INCOZ - NZTL,False
INCOZ - WSSS,INCOZ - NZTL,False
INCOZ - YBBN,INCOZ - NZTL,False
INCOZ - YBCG,INCOZ - NZTL,False
INCOZ - YBHM,INCOZ - NZTL,False
INCOZ - YBMK,INCOZ - NZTL,False
INCOZ - YBRK,INCOZ - NZTL,False
INCOZ - YBSU,INCOZ - NZTL,False
INCOZ - YMHB,INCOZ - NZTL,False
INCOZ - YMLT,INCOZ - NZTL,False
INCOZ - YMML,INCOZ - NZTL,False
INCOZ - YPAD,INCOZ - NZTL,False
INCOZ - YPPH,INCOZ - NZTL,False
INCOZ - YSCB,INCOZ - NZTL,False
INCOZ - YSSY,INCOZ - NZTL,False
INCOZ - NFFN,INCOZ - NZWN,False
INCOZ - NZAA,INCOZ - NZWN,False
INCOZ - NZCH,INCOZ - NZWN,False
INCOZ - NZGS,INCOZ - NZWN,False
INCOZ - NZMF,INCOZ - NZWN,False
INCOZ - NZMJ,INCOZ - NZWN,False
INCOZ - NZNS,INCOZ - NZWN,False
INCOZ - NZNV,INCOZ - NZWN,False
INCOZ - NZQE,INCOZ - NZWN,False
INCOZ - NZQN,INCOZ - NZWN,False
INCOZ - NZRO,INCOZ - NZWN,False
INCOZ - NZTL,INCOZ - NZWN,False
INCOZ - NZWN,INCOZ - NZWN,False
INCOZ - NZWR,INCOZ - NZWN,False
INCOZ - NZWS,INCOZ - NZWN,False
INCOZ - RJAA,INCOZ - NZWN,False
INCOZ - RJCC,INCOZ - NZWN,False
INCOZ - RJOA,INCOZ - NZWN,False
INCOZ - RJOO,INCOZ - NZWN,False
INCOZ - RKPK,INCOZ - NZWN,False
INCOZ - RKSI,INCOZ - NZWN,False
INCOZ - VHHH,INCOZ - NZWN,False
INCOZ - VHHX,INCOZ - NZWN,False
INCOZ - VNKT,INCOZ - NZWN,False
INCOZ - WADD,INCOZ - NZWN,False
INCOZ - WSSS,INCOZ - NZWN,False
INCOZ - YBBN,INCOZ - NZWN,False
INCOZ - YBCG,INCOZ - NZWN,False
INCOZ - YBHM,INCOZ - NZWN,False
INCOZ - YBMK,INCOZ - NZWN,False
INCOZ - YBRK,INCOZ - NZWN,False
INCOZ - YBSU,INCOZ - NZWN,False
INCOZ - YMHB,INCOZ - NZWN,False
INCOZ - YMLT,INCOZ - NZWN,False
INCOZ - YMML,INCOZ - NZWN,False
INCOZ - YPAD,INCOZ - NZWN,False
INCOZ - YPPH,INCOZ - NZWN,False
INCOZ - YSCB,INCOZ - NZWN,False
